name,year,battle_number,attacker_1,attacker_2,attacker_3,attacker_4,defender_1,defender_2,defender_3,defender_4,attacker_outcome,battle_type,major_death,major_capture,attacker_size,defender_size,attacker_commander,defender_commander,summer,location,note,attacker_king_Balon/Euron Greyjoy,attacker_king_Joffrey/Tommen Baratheon,attacker_king_Robb Stark,attacker_king_Stannis Baratheon,defender_king_Balon/Euron Greyjoy,defender_king_Joffrey/Tommen Baratheon,defender_king_Mance Rayder,defender_king_Renly Baratheon,defender_king_Robb Stark,defender_king_Stannis Baratheon,region_Beyond the Wall,region_The Crownlands,region_The North,region_The Reach,region_The Riverlands,region_The Stormlands,region_The Westerlands
Sack of Winterfell,299,14,Bolton,Greyjoy,,,Stark,,,,win,ambush,1.0,0.0,618.0,2000.0,"Ramsay Snow, Theon Greyjoy ","Rodrik Cassel, Cley Cerwyn, Leobald Tallhart",1.0,Winterfell,"Since House Bolton betrays the Starks for House Lannister, we code this battle as between these two houses. Greyjoy men, numbering only 20, don't play a major part in the fighting and end up dying anyway.",False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Battle of Oxcross,299,15,Stark,Tully,,,Lannister,,,,win,ambush,1.0,1.0,6000.0,10000.0,"Robb Stark, Brynden Tully","Stafford Lannister, Roland Crakehall, Antario Jast",1.0,Oxcross,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Siege of Storm's End,299,16,Baratheon,,,,Baratheon,,,,win,siege,1.0,0.0,5000.0,20000.0,"Stannis Baratheon, Davos Seaworth","Renly Baratheon, Cortnay Penrose, Loras Tyrell, Randyll Tarly, Mathis Rowan",1.0,Storm's End,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
Battle of the Fords,299,17,Lannister,,,,Tully,,,,loss,pitched battle,0.0,0.0,20000.0,10000.0,"Tywin Lannister, Flement Brax, Gregor Clegane, Addam Marbrand, Lyle Crakehall, Leo Lefford","Edmure Tully, Jason Mallister, Karyl Vance",1.0,Red Fork,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Sack of Harrenhal,299,18,Stark,,,,Lannister,,,,win,ambush,1.0,0.0,100.0,100.0,"Roose Bolton, Vargo Hoat, Robett Glover",Amory Lorch,1.0,Harrenhal,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Battle of the Crag,299,19,Stark,,,,Lannister,,,,win,ambush,0.0,0.0,6000.0,,"Robb Stark, Smalljon Umber, Black Walder Frey",Rolph Spicer,1.0,Crag,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Battle of the Blackwater,299,20,Baratheon,,,,Lannister,,,,loss,pitched battle,1.0,1.0,21000.0,7250.0,"Stannis Baratheon, Imry Florent, Guyard Morrigen, Rolland Storm, Salladhor Saan, Davos Seaworth","Tyrion Lannister, Jacelyn Bywater, Sandor Clegane, Tywin Lannister, Garlan Tyrell, Mace Tyrell, Randyll Tarly",1.0,King's Landing,,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
Siege of Darry,299,21,Darry,,,,Lannister,,,,win,siege,0.0,0.0,,,Helman Tallhart,,1.0,Darry,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Battle of Duskendale,299,22,Stark,,,,Lannister,,,,loss,pitched battle,1.0,0.0,3000.0,,"Robertt Glover, Helman Tallhart","Randyll Tarly, Gregor Clegane",1.0,Duskendale,,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Battle of the Ruby Ford,299,24,Lannister,,,,Stark,,,,win,pitched battle,0.0,0.0,,6000.0,Gregor Clegane,"Roose Bolton, Wylis Manderly",,Ruby Ford,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Retaking of Harrenhal,299,25,Lannister,,,,Brave Companions,,,,win,pitched battle,1.0,0.0,,,Gregor Clegane,Vargo Hoat,1.0,Harrenhal,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
The Red Wedding,299,26,Frey,Bolton,,,Stark,,,,win,ambush,1.0,1.0,3500.0,3500.0,"Walder Frey, Roose Bolton, Walder Rivers",Robb Stark,1.0,The Twins,"This observation refers to the battle against the Stark men, not the attack on the wedding",False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Siege of Seagard,299,27,Frey,,,,Mallister,,,,win,siege,0.0,1.0,,,Walder Frey,Jason Mallister,1.0,Seagard,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Battle of Castle Black,300,28,Free folk,Thenns,Giants,,Night's Watch,Baratheon,,,loss,siege,1.0,1.0,100000.0,1240.0,"Mance Rayder, Tormund Giantsbane, Harma Dogshead, Magnar Styr, Varamyr","Stannis Baratheon, Jon Snow, Donal Noye, Cotter Pyke",0.0,Castle Black,,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False
Fall of Moat Cailin,300,29,Bolton,,,,Greyjoy,,,,win,siege,0.0,0.0,,,Ramsey Bolton,,0.0,Moat Cailin,,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Retaking of Deepwood Motte,300,31,Baratheon,Karstark,Mormont,Glover,Greyjoy,,,,win,pitched battle,0.0,0.0,4500.0,200.0,"Stannis Baratheon, Alysane Mormot",Asha Greyjoy,0.0,Deepwood Motte,,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
Battle of the Shield Islands,300,32,Greyjoy,,,,Tyrell,,,,win,pitched battle,0.0,0.0,,,"Euron Greyjoy, Victarion Greyjoy",,0.0,Shield Islands,,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
"Invasion of Ryamsport, Vinetown, and Starfish Harbor",300,33,Greyjoy,,,,Tyrell,,,,win,razing,0.0,0.0,,,"Euron Greyjoy, Victarion Greyjoy",,0.0,"Ryamsport, Vinetown, Starfish Harbor",,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Second Seige of Storm's End,300,34,Baratheon,,,,Baratheon,,,,win,siege,0.0,0.0,,200.0,"Mace Tyrell, Mathis Rowan",Gilbert Farring,0.0,Storm's End,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Siege of Dragonstone,300,35,Baratheon,,,,Baratheon,,,,win,siege,0.0,0.0,2000.0,,"Loras Tyrell, Raxter Redwyne",Rolland Storm,0.0,Dragonstone,,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
Siege of Riverrun,300,36,Lannister,Frey,,,Tully,,,,win,siege,0.0,0.0,3000.0,,"Daven Lannister, Ryman Fey, Jaime Lannister",Brynden Tully,0.0,Riverrun,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Siege of Raventree,300,37,Bracken,Lannister,,,Blackwood,,,,win,siege,0.0,1.0,1500.0,,"Jonos Bracken, Jaime Lannister",Tytos Blackwood,0.0,Raventree,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Siege of Winterfell,300,38,Baratheon,Karstark,Mormont,Glover,Bolton,Frey,,,,,,,5000.0,8000.0,Stannis Baratheon,Roose Bolton,0.0,Winterfell,,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
